2021-07-01 09:29:19: == Sync Started by User Command
2021-07-01 09:29:22: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/.gitignore' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/.gitignore' (7)
2021-07-01 09:29:22: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/article.php' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/article.php' (2,838)
2021-07-01 09:29:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/all_logos.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/all_logos.css' (0)
2021-07-01 09:29:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/about.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/about.css' (1,960)
2021-07-01 09:29:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/app.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/app.css' (183)
2021-07-01 09:29:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/blog.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/blog.css' (2,009)
2021-07-01 09:29:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/heroes.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/heroes.css' (518)
2021-07-01 09:29:23: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/carousel.css' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/carousel.css' (1,194)
2021-07-01 09:29:25: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/avatar.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/avatar.jpg' (39,732)
2021-07-01 09:29:25: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/blog-post-1.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/blog-post-1.jpg' (34,686)
2021-07-01 09:29:25: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/blog-post-2.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/blog-post-2.jpg' (47,883)
2021-07-01 09:29:28: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/blog-post-3.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/blog-post-3.jpg' (26,167)
2021-07-01 09:29:28: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/blog-post-big.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/blog-post-big.jpg' (125,082)
2021-07-01 09:29:34: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/favicon.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/favicon.png' (43,985)
2021-07-01 09:29:34: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/description.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/description.jpg' (41,900)
2021-07-01 09:29:47: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/2.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/2.jpg' (36,204)
2021-07-01 09:29:47: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/1.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/1.jpg' (85,929)
2021-07-01 09:30:00: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/3.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/3.jpg' (72,526)
2021-07-01 09:30:01: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/4.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/4.jpg' (177,759)
2021-07-01 09:30:18: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/5.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/5.jpg' (49,326)
2021-07-01 09:30:19: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/6.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/6.jpg' (324,073)
2021-07-01 09:30:41: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/gallery/7.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/gallery/7.jpg' (73,557)
2021-07-01 09:30:42: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/header.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/header.jpg' (629,444)
2021-07-01 09:30:46: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/cover-portfolio.psd' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/cover-portfolio.psd' (12,360,047)
2021-07-01 09:30:46: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/img-decor-01.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/img-decor-01.jpg' (31,884)
2021-07-01 09:30:50: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/info_profile.jpeg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/info_profile.jpeg' (136,094)
2021-07-01 09:30:51: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/logo.old.2.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/logo.old.2.png' (15,019)
2021-07-01 09:30:53: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/logo.png' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/logo.png' (15,453)
2021-07-01 09:30:53: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/home-bg.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/home-bg.jpg' (829,283)
2021-07-01 09:30:53: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/logo.psd' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/logo.psd' (150,525)
2021-07-01 09:30:54: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/me.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/me.jpg' (24,455)
2021-07-01 09:30:55: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-2.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-2.jpg' (47,329)
2021-07-01 09:30:55: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-1.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-1.jpg' (16,649)
2021-07-01 09:30:56: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-3.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-3.jpg' (48,990)
2021-07-01 09:30:57: Ecrasement 'C:/Users/acs/Desktop/ACS@21 Code/BlogFolioPOO/assets/images/portfolio/portfolio-5.jpg' -> 'sftp://access788809564.webspace-data.io/BlogFolioPOO/assets/images/portfolio/portfolio-5.jpg' (59,003)
